train/reward,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/std,train/learning_rate
2.5279226,28672,127,224,14,0.012435837,426.45416259765625,-41.53961658477783,-0.00803531557903625,130,0.2,1.1920928955078125e-07,616.5928340911865,0.134814453125,1.0143871307373047,0.00025
1.5266997,30720,127,240,15,0.010002326,680.2557983398438,-41.55259160995483,-0.004627351451199501,140,0.2,0.0,949.8767143249512,0.112060546875,1.0145008563995361,0.00025
-65.5437,32768,127,256,16,0.006905454,715.220703125,-41.56563708782196,-0.006437595695024357,150,0.2,0.0,1211.042321395874,0.04619140625,1.0148788690567017,0.00025
3.2988586,34816,127,273,17,0.013132772,210.35244750976562,-41.624135088920596,-0.007754409275366925,160,0.2,0.0,439.7289617538452,0.1595703125,1.0183199644088745,0.00025
3.8552442,36864,127,289,18,0.011034561,434.76141357421875,-41.712550616264345,-0.007153591889073141,170,0.2,1.7881393432617188e-07,652.2447605133057,0.107861328125,1.0213353633880615,0.00025
1.0650223,38912,127,305,19,0.008076849,475.0151672363281,-41.78348715305329,-0.00814867026056163,180,0.2,0.0,1469.5657917022704,0.106640625,1.0240728855133057,0.00025
4.4964705,40960,127,321,20,0.01030184,314.0566711425781,-41.85743110179901,-0.010283925529802219,190,0.2,0.0,663.7006567001342,0.139990234375,1.0258361101150513,0.00025
-4.511916,43008,127,337,21,0.008962741,95.26275634765625,-41.91634774208069,-0.008510428192676046,200,0.2,0.0,162.90118021965026,0.114599609375,1.028805136680603,0.00025
0.24447845,45056,127,353,22,0.009564738,257.46282958984375,-41.999278497695926,-0.009825075857224874,210,0.2,0.0,601.5081365585327,0.120849609375,1.031253457069397,0.00025
0.3238348,47104,127,369,23,0.010530366,283.0342102050781,-42.07254054546356,-0.00935977378685493,220,0.2,0.0,728.9026210784912,0.10087890625,1.0342551469802856,0.00025
2.0757396,49152,127,385,24,0.009219142,404.7297668457031,-42.170017218589784,-0.007505365542601794,230,0.2,0.0,573.2114303588867,0.092529296875,1.0381124019622803,0.00025
0.8810658,51200,127,401,25,0.008900287,36.70359802246094,-42.23422651290893,-0.008478320570429788,240,0.2,-1.1920928955078125e-07,84.17474780082702,0.062158203125,1.039055585861206,0.00025
-7.7120004,53248,127,417,26,0.010881221,148.35751342773438,-42.277991604804996,-0.008878287603147328,250,0.2,0.0,353.28716840744016,0.152685546875,1.040963888168335,0.00025
-29.25153,55296,127,433,27,0.010718493,192.19207763671875,-42.32396559715271,-0.012035802929312922,260,0.2,0.0,508.5382617950439,0.129443359375,1.042824625968933,0.00025
10.092265,57344,127,449,28,0.008702686,228.91134643554688,-42.37288658618927,-0.00845042644359637,270,0.2,0.0,500.55038833618164,0.08994140625,1.0451894998550415,0.00025
0.6017427,59392,127,465,29,0.009053581,80.53341674804688,-42.48354263305664,-0.011084526410559192,280,0.2,0.0,190.8047607421875,0.126953125,1.0498616695404053,0.00025
0.29648083,61440,127,481,30,0.009715481,420.0216064453125,-42.56267733573914,-0.00792037178762257,290,0.2,0.0,760.7809223175049,0.0828125,1.0516576766967773,0.00025
14.409879,63488,127,497,31,0.007923465,251.0672607421875,-42.60168933868408,-0.00848463027505204,300,0.2,5.960464477539063e-08,491.11964359283445,0.08798828125,1.053002953529358,0.00025
-5.710138,65536,127,513,32,0.013056819,337.5831298828125,-42.666895961761476,-0.011092985572759062,310,0.2,0.0,755.6765144348144,0.125927734375,1.0559418201446533,0.00025
4.827186,67584,127,529,33,0.013317326,186.35096740722656,-42.75630922317505,-0.010286106381681748,320,0.2,0.0,300.51483964920044,0.146484375,1.0589745044708252,0.00025
-0.83014464,69632,127,545,34,0.011240354,264.4217834472656,-42.81384859085083,-0.013133209914667533,330,0.2,-1.1920928955078125e-07,738.1284494400024,0.158935546875,1.060557246208191,0.00025
41.28091,71680,127,561,35,0.009282102,611.939208984375,-42.843368196487425,-0.004959362919908017,340,0.2,0.0,1135.7651470184326,0.08447265625,1.0612678527832031,0.00025
-7.4129076,73728,127,578,36,0.012954768,262.3706970214844,-42.87900109291077,-0.008805539496825077,350,0.2,0.0,635.9774993896484,0.1376953125,1.0631425380706787,0.00025
-4.2705927,75776,127,594,37,0.013076512,292.8490295410156,-42.92397532463074,-0.008598126488504932,360,0.2,0.0,515.138189983368,0.1599609375,1.0648508071899414,0.00025
0.58300596,77824,127,610,38,0.017100349,665.4698486328125,-42.99610059261322,-0.009405023424187675,370,0.2,-1.1920928955078125e-07,1276.8694087982178,0.118017578125,1.0682655572891235,0.00025
-28.078094,79872,127,626,39,0.007652181,925.91845703125,-43.05450875759125,-0.0041203576634870846,380,0.2,0.0,2246.4240486145018,0.0578125,1.0688406229019165,0.00025
4.7691646,81920,127,642,40,0.0071599297,444.7510986328125,-43.07725851535797,-0.006747127056587488,390,0.2,0.0,1038.349452972412,0.093505859375,1.0709450244903564,0.00025
1.0590006,83968,127,658,41,0.016725946,639.1763916015625,-43.12889530658722,-0.009793396748136729,400,0.2,0.0,1191.0033226013184,0.191943359375,1.0721148252487183,0.00025
3.3307164,86016,127,674,42,0.0075415205,829.0021362304688,-43.1766681432724,-0.007886885199695826,410,0.2,0.0,1870.9349060058594,0.101611328125,1.0747909545898438,0.00025
13.133934,88064,127,690,43,0.007417723,1341.6842041015625,-43.231463241577146,-0.00696840938180685,420,0.2,1.1920928955078125e-07,2044.0197319030763,0.08115234375,1.07545006275177,0.00025
10.961795,90112,127,706,44,0.008785952,469.98638916015625,-43.22984826564789,-0.006017574539873749,430,0.2,0.0,594.4525876998902,0.133740234375,1.0754926204681396,0.00025
-1.0497388,92160,127,722,45,0.011044655,593.8414306640625,-43.26549241542816,-0.007180723478086293,440,0.2,0.0,1199.6504081726075,0.111328125,1.0774004459381104,0.00025
-0.28901383,94208,127,738,46,0.008509592,902.461669921875,-43.31734709739685,-0.007332808390492574,450,0.2,0.0,2293.633667755127,0.118212890625,1.0800079107284546,0.00025
-1.2592955,96256,127,754,47,0.009073555,1183.837890625,-43.380284023284915,-0.0047574406606145205,460,0.2,5.960464477539063e-08,2055.039860534668,0.065673828125,1.0819865465164185,0.00025
1.7833593,98304,127,770,48,0.01541558,240.68240356445312,-43.45118038654327,-0.011887926660710946,470,0.2,5.960464477539063e-08,478.82917232513427,0.191162109375,1.084837555885315,0.00025
7.233857,100352,127,786,49,0.010723116,505.0756530761719,-43.53796148300171,-0.010308788949623704,480,0.2,0.0,1322.0566173553466,0.142578125,1.087787389755249,0.00025
-10.832957,102400,127,802,50,0.007718005,480.8110656738281,-43.592691850662234,-0.008133904868736863,490,0.2,0.0,1522.2368057250976,0.0837890625,1.0903189182281494,0.00025
-4.1343746,104448,127,818,51,0.010438487,752.6734619140625,-43.67077827453613,-0.011089289473602548,500,0.2,0.0,1369.66565284729,0.139599609375,1.0924185514450073,0.00025
0.36501232,106496,127,834,52,0.0058699497,149.1212615966797,-43.71825969219208,-0.007571528304833919,510,0.2,0.0,367.292883682251,0.097119140625,1.095163106918335,0.00025
1.8693378,108544,127,850,53,0.008681564,425.8956604003906,-43.77440276145935,-0.006968764963676222,520,0.2,-1.1920928955078125e-07,1247.425453567505,0.12099609375,1.0967280864715576,0.00025
17.316591,110592,127,866,54,0.009436487,1155.8416748046875,-43.809529304504395,-0.007983798169880174,530,0.2,0.0,2340.046092224121,0.08955078125,1.0973331928253174,0.00025
-1.5119061,112640,127,882,55,0.009216484,865.8995361328125,-43.83936676979065,-0.005977736981003545,540,0.2,1.1920928955078125e-07,1801.1006996154786,0.0958984375,1.0987647771835327,0.00025
-1.6909742,114688,127,898,56,0.009934863,215.91770935058594,-43.88644580841064,-0.005428955133538693,550,0.2,0.0,594.6312255859375,0.12138671875,1.100940227508545,0.00025
-0.65469164,116736,127,914,57,0.009831995,793.4080200195312,-43.91746869087219,-0.0074271485820645465,560,0.2,0.0,2165.5356323242186,0.0880859375,1.1015896797180176,0.00025
54.688866,118784,127,930,58,0.01011219,856.587890625,-43.92589657306671,-0.005264600197551772,570,0.2,0.0,2625.213903808594,0.099072265625,1.1014487743377686,0.00025
-2.7045782,120832,127,946,59,0.010477154,823.314208984375,-43.94737069606781,-0.0037078015331644563,580,0.2,0.0,2113.376268005371,0.11328125,1.1030329465866089,0.00025
-5.7980714,122880,127,963,60,0.007565299,646.9210205078125,-43.96089596748352,-0.006922794203273952,590,0.2,0.0,1367.631371307373,0.108203125,1.1034513711929321,0.00025
-0.43033996,124928,127,979,61,0.011533457,1678.089111328125,-43.982306361198425,-0.006236896547488868,600,0.2,-1.1920928955078125e-07,2985.0839134216308,0.1109375,1.1040095090866089,0.00025
-18.149164,126976,127,995,62,0.0052037896,2214.575927734375,-44.00287029743195,-0.001848695389344357,610,0.2,5.960464477539063e-08,3730.6058349609375,0.0376953125,1.1045879125595093,0.00025
13.305544,129024,127,1011,63,0.012072459,988.5459594726562,-44.01225144863129,-0.008870901074260473,620,0.2,5.960464477539063e-08,1662.123849105835,0.1220703125,1.1054089069366455,0.00025
1.8394111,131072,127,1027,64,0.0067234566,1026.7713623046875,-44.04205524921417,-0.0038017051148926837,630,0.2,0.0,1930.8635620117188,0.12626953125,1.1063487529754639,0.00025
0.019398157,133120,127,1043,65,0.013491131,1558.426025390625,-44.05894696712494,-0.00531814252899494,640,0.2,5.960464477539063e-08,4088.6292373657225,0.110498046875,1.1072797775268555,0.00025
-81.162674,135168,127,1059,66,0.010184659,1504.23486328125,-44.090987706184386,-0.006329929101048038,650,0.2,0.0,4404.271537780762,0.09033203125,1.1084632873535156,0.00025
-8.124662,137216,127,1075,67,0.010395748,683.4790649414062,-44.11677460670471,-0.00850516086211428,660,0.2,5.960464477539063e-08,2021.4008003234862,0.107080078125,1.1096967458724976,0.00025
1.765032,139264,127,1091,68,0.010421867,1756.527587890625,-44.170538139343265,-0.005714216170599684,670,0.2,0.0,3091.483679199219,0.18154296875,1.1117005348205566,0.00025
0.50295943,141312,127,1107,69,0.01195698,2235.82177734375,-44.24221842288971,-0.005922672717133537,680,0.2,0.0,3474.0267333984375,0.100927734375,1.1156355142593384,0.00025
13.184707,143360,127,1123,70,0.0061339783,1268.149169921875,-44.304928469657895,-0.006867887859698385,690,0.2,0.0,2992.3895668029786,0.09208984375,1.1163243055343628,0.00025
6.1876535,145408,127,1139,71,0.013137097,273.033935546875,-44.347096180915834,-0.007929488996160217,700,0.2,0.0,580.7682508468628,0.138330078125,1.1194789409637451,0.00025
-0.18624233,147456,127,1155,72,0.008872755,635.189208984375,-44.432311630249025,-0.007671048823976889,710,0.2,5.960464477539063e-08,1834.3014999389648,0.14189453125,1.1222857236862183,0.00025
-0.09362775,149504,127,1171,73,0.00901722,950.4439697265625,-44.4713707447052,-0.006532678403891623,720,0.2,0.0,1848.0639656066894,0.136767578125,1.1228185892105103,0.00025
-0.31931236,151552,127,1187,74,0.013135906,768.5089111328125,-44.48676333427429,-0.004034609934024047,730,0.2,0.0,1982.7631004333496,0.116455078125,1.1232995986938477,0.00025
0.20914824,153600,127,1203,75,0.012672743,229.5774688720703,-44.497107195854184,-0.009165851774741895,740,0.2,0.0,512.7114540100098,0.09423828125,1.124081015586853,0.00025
2.4047065,155648,127,1219,76,0.0086418195,1034.709716796875,-44.549963450431825,-0.007020682413713075,750,0.2,-1.1920928955078125e-07,1613.6883926391602,0.134228515625,1.127230167388916,0.00025
-8.928149,157696,127,1235,77,0.010224503,1405.0216064453125,-44.6016352891922,-0.006465145712718367,760,0.2,0.0,3358.9208274841308,0.0912109375,1.1280580759048462,0.00025
21.955177,159744,127,1251,78,0.010678472,1234.7596435546875,-44.62946109771728,-0.007457352138590068,770,0.2,0.0,2302.729793548584,0.152001953125,1.1295193433761597,0.00025
-1.9526541,161792,127,1267,79,0.008630101,274.2223815917969,-44.666661214828494,-0.007714016770478338,780,0.2,0.0,685.6715152740478,0.09189453125,1.1307178735733032,0.00025
2.166324,163840,127,1283,80,0.014855867,1833.6212158203125,-44.71924242973328,-0.006287072386476212,790,0.2,-1.1920928955078125e-07,3514.903060913086,0.158203125,1.1339542865753174,0.00025
35.43001,165888,127,1299,81,0.008584237,1292.00537109375,-44.79464521408081,-0.0026750164717668666,800,0.2,5.960464477539063e-08,3162.4483207702638,0.110009765625,1.1359343528747559,0.00025
-7.665449,167936,127,1315,82,0.013734918,2159.224365234375,-44.82439930438996,-0.008364934410201386,810,0.2,0.0,2853.093364715576,0.12060546875,1.1365101337432861,0.00025
-0.8549708,169984,127,1331,83,0.012004882,513.4606323242188,-44.854008412361146,-0.008347747806692497,820,0.2,0.0,1203.7008979797363,0.181396484375,1.1383799314498901,0.00025
2.4948525,172032,127,1347,84,0.008831675,1177.9183349609375,-44.88782262802124,-0.004084762156708166,830,0.2,0.0,2295.352066040039,0.12490234375,1.1395573616027832,0.00025
73.63256,174080,127,1363,85,0.011891058,1181.4075927734375,-44.93163375854492,-0.004855663006310351,840,0.2,0.0,2519.86222076416,0.10478515625,1.141554832458496,0.00025
-6.5061545,176128,127,1379,86,0.013185658,749.6908569335938,-45.00415213108063,-0.007092158339219168,850,0.2,0.0,1216.7883308410644,0.175341796875,1.1445811986923218,0.00025
1.9307853,178176,127,1395,87,0.020804446,595.4464111328125,-45.084186816215514,-0.009087543870555237,860,0.2,0.0,1508.1529083251953,0.187353515625,1.148498296737671,0.00025
-0.29674438,180224,127,1411,88,0.011143951,1226.0423583984375,-45.16177463531494,-0.006555351379211061,870,0.2,0.0,2450.2601356506348,0.119482421875,1.150689721107483,0.00025
-11.091304,182272,127,1428,89,0.0120709855,1112.4605712890625,-45.20904202461243,-0.008475638343952596,880,0.2,1.1920928955078125e-07,2599.311305999756,0.136083984375,1.151933193206787,0.00025
-36.984905,184320,127,1444,90,0.010519236,377.2432556152344,-45.26858441829681,-0.007522124878596515,890,0.2,0.0,1295.7897689819335,0.137841796875,1.1559178829193115,0.00025
0.057046358,186368,127,1460,91,0.011423742,1088.22607421875,-45.37614433765411,-0.010241476842202247,900,0.2,-1.1920928955078125e-07,1735.0320762634278,0.125439453125,1.160820484161377,0.00025
0.20650117,188416,127,1476,92,0.011177415,1345.5162353515625,-45.47124030590057,-0.006547762145055458,910,0.2,1.1920928955078125e-07,2717.827689361572,0.120751953125,1.1633576154708862,0.00025
3.0037355,190464,127,1492,93,0.009436147,1378.1650390625,-45.52436008453369,-0.008219487412134185,920,0.2,0.0,2086.1587882995605,0.1001953125,1.1652013063430786,0.00025
14.193431,192512,127,1508,94,0.011500519,297.37054443359375,-45.54929723739624,-0.010841216749395245,930,0.2,0.0,664.8602130889892,0.1326171875,1.1653739213943481,0.00025
2.4816315,194560,127,1524,95,0.010858589,748.239990234375,-45.58955557346344,-0.006376116548199207,940,0.2,0.0,1815.2890857696534,0.147900390625,1.1685192584991455,0.00025
1.3174069,196608,127,1540,96,0.009610629,1728.94287109375,-45.6308036327362,-0.0065486513485666364,950,0.2,-1.1920928955078125e-07,2804.2313385009766,0.111767578125,1.1686053276062012,0.00025
-6.751129,198656,127,1556,97,0.00947087,1172.264892578125,-45.636758708953856,-0.003097988816443831,960,0.2,0.0,3163.4406089782715,0.081787109375,1.169188380241394,0.00025
-6.1536646,200704,127,1572,98,0.008232702,442.7218322753906,-45.674652910232545,-0.003817223251098767,970,0.2,0.0,901.2844398498535,0.09169921875,1.1725016832351685,0.00025
