train/reward,train/n_updates,time/total_timesteps,time/fps,time/episodes,train/actor_loss,time/time_elapsed,train/critic_loss,train/learning_rate
54.411034,10971,11072,83,4,-86265.9765625,132,115169.875,0.001
54.411034,22043,22144,83,8,-55428.1875,264,23141.037109375,0.001
54.411034,33115,33216,83,12,-43269.25390625,397,13274.048828125,0.001
54.411034,44187,44288,83,16,-26645.3515625,530,16415.205078125,0.001
